coupon_id,(MT)_identifier,(MT)_center_x,(MT)_center_y,(PB)_laser_power,(PB)_scan_speed,(PB)_hatch_distance,(PB)_powder_thickness,(PB)_VED,layer_index,MeltVIEW plasma_mean,MeltVIEW plasma_std,MeltVIEW plasma_min,MeltVIEW plasma_max,MeltVIEW plasma_ptp,MeltVIEW plasma_skew,MeltVIEW plasma_kurtosis,MeltVIEW plasma_mad,MeltVIEW plasma_extreme_count,MeltVIEW plasma_entropy,MeltVIEW plasma_glcm_contrast_mean,MeltVIEW plasma_glcm_contrast_std,MeltVIEW plasma_glcm_homogeneity_mean,MeltVIEW plasma_glcm_homogeneity_std,MeltVIEW plasma_glcm_energy_mean,MeltVIEW plasma_glcm_energy_std,MeltVIEW plasma_glcm_correlation_mean,MeltVIEW plasma_glcm_correlation_std,MeltVIEW plasma_glcm_entropy_mean,MeltVIEW plasma_glcm_entropy_std,MeltVIEW plasma_hot_clusters,MeltVIEW plasma_hot_abs_contrast,MeltVIEW plasma_hot_rel_contrast,MeltVIEW plasma_hot_rel_size,MeltVIEW plasma_cold_clusters,MeltVIEW plasma_cold_abs_contrast,MeltVIEW plasma_cold_rel_contrast,MeltVIEW plasma_cold_rel_size,MeltVIEW melt pool_mean,MeltVIEW melt pool_std,MeltVIEW melt pool_min,MeltVIEW melt pool_max,MeltVIEW melt pool_ptp,MeltVIEW melt pool_skew,MeltVIEW melt pool_kurtosis,MeltVIEW melt pool_mad,MeltVIEW melt pool_extreme_count,MeltVIEW melt pool_entropy,MeltVIEW melt pool_glcm_contrast_mean,MeltVIEW melt pool_glcm_contrast_std,MeltVIEW melt pool_glcm_homogeneity_mean,MeltVIEW melt pool_glcm_homogeneity_std,MeltVIEW melt pool_glcm_energy_mean,MeltVIEW melt pool_glcm_energy_std,MeltVIEW melt pool_glcm_correlation_mean,MeltVIEW melt pool_glcm_correlation_std,MeltVIEW melt pool_glcm_entropy_mean,MeltVIEW melt pool_glcm_entropy_std,MeltVIEW melt pool_hot_clusters,MeltVIEW melt pool_hot_abs_contrast,MeltVIEW melt pool_hot_rel_contrast,MeltVIEW melt pool_hot_rel_size,MeltVIEW melt pool_cold_clusters,MeltVIEW melt pool_cold_abs_contrast,MeltVIEW melt pool_cold_rel_contrast,MeltVIEW melt pool_cold_rel_size,LaserVIEW_mean,LaserVIEW_std,LaserVIEW_min,LaserVIEW_max,LaserVIEW_ptp,LaserVIEW_skew,LaserVIEW_kurtosis,LaserVIEW_mad,LaserVIEW_extreme_count,LaserVIEW_entropy,(PD)_Total_Energy,(PD)_MVP/TE_ratio,(PD)_MVP/MVMP_ratio,(PD)_MVMP/LV,(PD)_MVP/LV,(PD)_LV_STD/LV,(PDPB)_MVMP/VED,(PDPB)_MVP/VED,(PDPB)_TotalEnergy/VED,(PDPB)_LV/LP,Label
B1_CP01,60_1,-23,-15,275,1000,0.11,0.06,41.67,1,814.3337427,92.72889994,52.5,1335,1282.5,0.728604135,14.27923771,30,1476,2.589458362,59.62688453,22.85697835,0.699356532,0.020876232,0.533661186,0.010977248,0.913704012,0.032932849,2.869314198,0.087438305,2,219.5006104,0.269942641,0.55404726,6,102.4655151,0.126012459,0.037707391,190.7571106,14.44380531,49.5,270.5,221,-0.356471565,17.11729809,6,1043,2.725232571,62.81639249,24.1775298,0.69437737,0.027591932,0.53298757,0.011021945,0.919856052,0.030711821,2.892123105,0.0939403,3,22.95752,0.120394304,0.701207243,4,19.9404,0.10457186,0.067873303,354.6795575,12.44437265,51,375.5,324.5,-14.8101915,273.7958786,3.5,106,1.396899334,1005.090853,0.810209087,4.268956162,0.537829448,2.295970336,0.035086242,4.57780443,19.54244643,24.12025086,1.289743845,1
B1_CP01,60_1,-23,-15,275,1000,0.11,0.06,41.67,2,815.1979826,142.0684121,53.5,1423.5,1370,-0.756864012,3.627494568,57.5,827,3.541044117,69.52111032,23.56381623,0.62532348,0.01626097,0.529757865,0.010969073,0.895494016,0.035219484,3.559117769,0.081089957,8,236.6738892,0.290622205,0.386432161,9,305.5597534,0.375210196,0.111557789,187.2421309,25.37130589,50.5,282,231.5,-1.05243086,2.2402147,12,639,3.669233865,73.99835963,24.06710634,0.615673545,0.016125493,0.529490972,0.010971455,0.894854868,0.033990963,3.636380523,0.082737664,4,35.906418,0.19188468,0.426633166,9,54.998337,0.29391232,0.104020101,354.9677896,13.05705436,50,369,319,-15.24664755,267.8770033,3.5,126,1.201801522,1002.440113,0.813213649,4.353710241,0.527490483,2.296540718,0.036783772,4.493451664,19.56318653,24.05663819,1.290791962,1
B1_CP01,60_1,-23,-15,275,1000,0.11,0.06,41.67,3,862.2726108,117.5159872,58,1459.5,1401.5,-0.188345869,7.650482396,50.5,968,3.216914549,60.5828029,21.44645505,0.651100047,0.017178951,0.530380256,0.010910724,0.908027256,0.032392589,3.294557263,0.074252487,8,229.0770264,0.266003788,0.326971371,5,198.2563477,0.230214879,0.154193872,197.2395352,18.74708211,50,286,236,-0.965751666,7.664016893,8.5,805,3.202321726,63.7899907,22.43871024,0.650779527,0.01865928,0.530166206,0.010918868,0.913023572,0.030440052,3.318854636,0.078299436,8,31.816101,0.1614368,0.414364641,4,38.341843,0.19454879,0.157207433,350.6309662,12.4319482,50,372.5,322.5,-17.02948252,309.7192089,2,129,1.015791899,1059.512146,0.813839288,4.371702711,0.562527427,2.459202677,0.035455933,4.733370175,20.69288723,25.4262574,1.275021695,1
B1_CP01,60_1,-23,-15,275,1000,0.11,0.06,41.67,4,892.4437955,103.427334,59.5,1418.5,1359,-0.204261078,10.90545113,47.5,909,3.037406503,63.57515076,23.38936588,0.654883332,0.014446693,0.530922601,0.010911366,0.916607516,0.030537079,3.164958647,0.072140155,2,215.0678711,0.24127759,0.481909548,2,134.31604,0.150684759,0.044723618,205.4532414,17.43509925,50,285,235,-0.609826566,8.735475374,9.5,531,3.132207554,68.75135664,24.95342194,0.645597464,0.016182914,0.530583671,0.01092902,0.919735338,0.028996194,3.218953486,0.075294358,2,32.447342,0.15802626,0.586934673,3,33.017532,0.16080323,0.044723618,352.2898987,12.58781995,50,371,321,-14.34279248,259.3837608,3.5,107,1.301566274,1097.897037,0.812866567,4.343780557,0.583193677,2.533265355,0.035731425,4.930483356,21.41693774,26.34742109,1.281054177,1
B1_CP01,60_1,-23,-15,275,1000,0.11,0.06,41.67,5,690.138741,205.3051727,52.5,1419.5,1367,-0.197867835,-0.510603868,133.5,41,4.13314404,76.91141135,24.88480609,0.596279515,0.034321547,0.529209348,0.010982371,0.839354323,0.051635654,3.907950512,0.157657542,4,338.338562,0.490860313,0.608848668,8,339.817749,0.493006319,0.155354449,164.8923728,36.11919809,50,274.5,224.5,-0.173337123,-0.983588441,27.5,3,4.232495902,93.20032342,32.22122085,0.588914424,0.035948414,0.529113737,0.010980195,0.824839069,0.060203844,4.026480649,0.175316942,4,53.73964,0.32610038,0.601809955,8,57.880905,0.3512302,0.169431875,357.6994785,12.55368711,50,373.5,323.5,-15.52103166,288.0914493,3.5,108,1.304782317,855.0311137,0.807150442,4.185389109,0.460980188,1.929381457,0.035095626,3.957100378,16.56200482,20.5191052,1.300725376,1
B1_CP01,60_1,-23,-15,275,1000,0.11,0.06,41.67,6,901.6042917,115.0044438,52.5,1588,1535.5,0.250081258,9.711467407,48.5,1033,2.948302374,51.8401178,19.61222651,0.672527742,0.016058771,0.531373586,0.010909369,0.910996088,0.033514202,3.104327437,0.073446789,2,251.1864624,0.278950512,0.721105528,1,127.7528076,0.141873524,0.026646556,206.3240372,18.0052873,49,300.5,251.5,-0.14143296,9.511190006,8,849,2.964492433,58.61960187,22.03377186,0.667162907,0.016550721,0.530863519,0.010924777,0.915118599,0.031754347,3.18540014,0.076978675,2,36.069412,0.17495291,0.836683417,2,27.101364,0.13145384,0.059798995,355.6800377,13.26072968,50.5,370.5,320,-14.98009792,261.8541114,4,127,1.228849562,1107.928329,0.813774924,4.369846113,0.580083264,2.534874596,0.037282749,4.951380781,21.63677206,26.58815284,1.293381955,1
B1_CP01,60_1,-23,-15,275,1000,0.11,0.06,41.67,7,893.8414289,116.3606587,52.5,1465.5,1413,-0.629478051,7.817326351,55,698,3.248551319,65.27523139,23.7720128,0.647793985,0.017733761,0.530227607,0.010928359,0.913688656,0.031280668,3.326367797,0.076496944,8,219.0695801,0.245379686,0.265829146,7,200.838623,0.22495921,0.179899497,205.2652601,20.50184727,49.5,296.5,247,-0.763416267,5.20578269,10.5,691,3.330929591,64.91681146,22.63967968,0.643433957,0.019802259,0.529984722,0.010927246,0.915539129,0.029307369,3.395484118,0.081794143,4,33.695236,0.16425493,0.498994975,6,37.59575,0.18326885,0.186432161,354.4892424,13.66985165,50,373.5,323.5,-13.68714038,233.0391992,3.5,127,1.498785697,1099.106689,0.813243553,4.354567493,0.579045104,2.521490985,0.038562106,4.925972164,21.45047826,26.37645042,1.28905179,1
B1_CP01,60_1,-23,-15,275,1000,0.11,0.06,41.67,8,736.4888677,193.8594167,54,1522,1468,-0.323655872,0.102246358,108.5,189,3.974276661,68.83957997,19.41799824,0.593712019,0.017407003,0.52939668,0.010952497,0.863070268,0.038306734,3.879150631,0.094375917,3,326.9432983,0.444380909,0.659627954,5,340.6063232,0.46295166,0.130216189,173.7950825,34.23436562,49.5,278,228.5,-0.378156448,-0.566416149,22,29,4.150570648,83.92236824,22.99164689,0.58566171,0.016754534,0.529264042,0.010950956,0.861966824,0.037496678,3.978196506,0.094769316,5,49.29016,0.28381607,0.679235797,6,58.781387,0.3384672,0.13323278,353.9476147,13.12024047,50.5,394.5,344,-12.75983788,228.2844371,3,110,1.457922341,910.2839502,0.809075967,4.237685308,0.491019222,2.080784944,0.037068312,4.17074832,17.67431888,21.8450672,1.287082235,1
B1_CP01,60_1,-23,-15,275,1000,0.11,0.06,41.67,9,904.2327095,108.4601084,59.5,1566,1506.5,0.019779516,10.6301422,49.5,923,2.955501578,53.12012439,20.28191816,0.663643197,0.018713966,0.531247982,0.010942484,0.916706541,0.03165813,3.10447524,0.082427153,3,218.8007202,0.24227719,0.586224233,5,122.2492676,0.135366142,0.059326295,208.3679107,17.04734024,53,315,262,-0.354101905,9.692916216,8.5,695,2.900646544,53.52403862,20.52285234,0.669427361,0.020621164,0.531335748,0.010958476,0.920969708,0.030167683,3.062011785,0.085484378,2,30.872437,0.14825425,0.728506787,2,24.854828,0.11935676,0.151835093,352.7363802,13.33221029,51,369.5,318.5,-13.02762304,220.3495836,3,113,1.358227294,1112.60062,0.81271994,4.339596757,0.590718515,2.563480152,0.037796527,5.000429822,21.69984904,26.70027886,1.282677746,1
B1_CP01,60_1,-23,-15,275,1000,0.11,0.06,41.67,10,870.8251561,133.0014662,55,1589,1534,-0.688857606,5.478388676,60.5,963,3.327435167,58.03855234,20.14640709,0.63446034,0.015380154,0.530082204,0.010947545,0.904087751,0.033114889,3.399137512,0.076378051,9,243.9486084,0.280466884,0.384422111,6,262.241333,0.301497966,0.349748744,200.6877341,23.8323627,50,315,265,-0.995882761,3.50683896,11.5,860,3.434961193,57.5632097,19.17368033,0.628800668,0.016037099,0.529837756,0.010958794,0.904683916,0.03156901,3.444006299,0.07784854,4,36.155365,0.18027626,0.489447236,5,50.86441,0.25361785,0.370854271,351.3556566,14.33082059,50,371.5,321.5,-11.82855848,186.7424613,3.5,128,1.624254223,1071.51289,0.812706188,4.339204685,0.571181167,2.478471998,0.04078722,4.816120329,20.89813189,25.71425222,1.277656933,1
B1_CP01,60_1,-23,-15,275,1000,0.11,0.06,41.67,11,882.1082703,128.9776341,53,1473,1420,-0.537102014,5.655844785,58,912,3.388993274,67.68628337,23.56391728,0.635122509,0.014967207,0.529943934,0.010922868,0.908130382,0.0318157,3.440885014,0.075635067,8,241.4130249,0.274038136,0.240201005,4,255.3789063,0.289891392,0.228140704,203.0560412,21.67191363,50,289.5,239.5,-0.991007613,4.471059369,10,842,3.421513839,72.23699734,24.73160521,0.631104531,0.016093824,0.529679553,0.010933996,0.910200951,0.03058118,3.517442058,0.081230882,9,34.93245,0.17216317,0.212562814,5,47.047806,0.23187323,0.235175879,352.476383,13.28938181,50.5,372.5,322,-14.57304667,253.5793224,3,125,1.396078802,1085.164312,0.812879912,4.344161667,0.576084104,2.502602481,0.0377029,4.872955152,21.16890498,26.04186013,1.281732302,1
B1_CP01,60_1,-23,-15,275,1000,0.11,0.06,41.67,12,917.1634383,104.9240548,55,1791.5,1736.5,-0.493467875,10.23533242,53.5,652,2.805173969,54.31786527,20.0139555,0.652377973,0.01447773,0.531148456,0.010896202,0.922597172,0.02838796,3.169424617,0.073483669,7,203.2421265,0.22191982,0.477867203,4,151.3342896,0.165241718,0.115694165,215.3232571,18.74236941,51,333.5,282.5,-0.737927261,7.666581609,11,420,3.01788854,63.85995409,23.75708117,0.649288896,0.016067966,0.530799152,0.010905363,0.927789784,0.026742704,3.223830029,0.077089095,2,31.310059,0.14556998,0.425050302,5,31.253006,0.14530472,0.170523139,352.86792,12.57580772,50,372.5,322.5,-14.14834446,260.0647196,3,103,1.509015307,1132.486695,0.809866855,4.259472249,0.610209217,2.599169226,0.035638852,5.167344784,22.01016171,27.17750649,1.283156073,1
B1_CP01,60_1,-23,-15,275,1000,0.11,0.06,41.67,13,820.5149958,153.5105921,53.5,1545,1491.5,-0.408191518,1.500394822,89,305,3.717923822,58.05271824,19.46746191,0.612786944,0.022436962,0.529353291,0.010984205,0.896218587,0.034591258,3.630147708,0.103740318,5,263.0330811,0.320913851,0.384422111,8,299.418457,0.365305871,0.100502513,193.9848399,29.43343682,49.5,303.5,254,-0.42608469,0.171466999,19.5,182,3.904878294,67.34078287,22.75730685,0.59761671,0.023937503,0.529136844,0.010984169,0.888374279,0.037486134,3.804326025,0.116797765,2,45.04033,0.23231228,0.446733668,9,55.45732,0.2860418,0.111055276,352.970326,12.99740541,50.5,373.5,323,-14.23748554,252.7224284,2.5,190,1.534792994,1014.499836,0.808787707,4.229789279,0.549578323,2.324600499,0.036822941,4.655263735,19.69078464,24.34604837,1.283528458,1
B1_CP01,60_1,-23,-15,275,1000,0.11,0.06,41.67,14,934.7682163,120.2679383,55.5,1616,1560.5,-0.076691931,8.520999431,56.5,809,3.102374019,55.09844491,20.44515581,0.652274741,0.013948734,0.530642168,0.010915055,0.915142574,0.031337797,3.215039945,0.072868586,6,248.8349609,0.266447484,0.488442211,1,162.5239868,0.174027428,0.077889447,220.0811791,18.67986961,49.5,322,272.5,-0.782915758,10.09825917,9.5,622,2.99616259,60.30650072,22.89601016,0.659218187,0.01491973,0.530665455,0.010924868,0.923943143,0.028745505,3.183634547,0.075163213,3,34.12776,0.1551452,0.648743719,5,27.974075,0.12717047,0.15879397,352.9140779,13.16191813,50.5,371.5,321,-15.35921596,269.1886461,2.5,128,1.133658854,1154.849395,0.809428675,4.247379173,0.623611221,2.648713312,0.037294965,5.281525776,22.43264258,27.71416835,1.28332392,1
